"source_row","word","type","part_of_speech","comment"
"1","accentuates","style","verb",""
"3","achieving","style","verb",""
"4","acknowledges","style","verb",""
"5","acknowledging","style","verb",""
"6","across","style","preposition",""
"8","additionally","style","adverb",""
"9","address","style","verb",""
"10","addresses","style","verb",""
"11","addressing","style","verb",""
"12","adept","style","adjective",""
"13","adhered","style","verb",""
"14","adhering","style","verb",""
"18","advancement","style","noun",""
"19","advancements","style","noun",""
"20","advancing","style","verb",""
"22","advocates","style","verb",""
"23","advocating","style","verb",""
"25","affirming","style","verb",""
"26","afflicted","style","verb",""
"28","aiding","style","verb",""
"29","aims","style","verb",""
"30","akin","style","adjective",""
"31","align","style","verb",""
"32","aligning","style","verb",""
"33","aligns","style","verb",""
"34","alongside","style","preposition",""
"36","amid","style","preposition",""
"37","amidst","style","preposition",""
"39","analysis","style","noun",""
"41","announced","style","verb",""
"47","apologizes","style","verb",""
"48","approach","style","noun",""
"55","assess","style","verb",""
"56","assessed","style","verb",""
"57","assessing","style","verb",""
"58","assessments","style","noun",""
"60","attains","style","verb",""
"62","attributed","style","verb",""
"63","augmenting","style","verb",""
"67","avenue","style","noun",""
"68","avenues","style","noun",""
"69","background","content/style","noun","can be both"
"71","based","style","verb",""
"73","between","style","preposition",""
"81","bolster","style","verb",""
"82","bolstered","style","verb",""
"83","bolstering","style","verb",""
"86","both","style","pronoun/adverb",""
"88","broader","style","adjective",""
"90","burgeoning","style","verb",""
"92","capabilities","style","noun",""
"93","capitalizing","style","verb",""
"96","categorized","style","verb",""
"97","categorizes","style","verb",""
"98","categorizing","style","verb",""
"105","challenge","style","verb",""
"106","challenges","style","noun",""
"119","closures","content/style","noun","used in many contexts, like businesses"
"124","combating","style","verb",""
"126","commendable","style","adjective",""
"127","compelling","style","adjective",""
"128","complex","style","noun",""
"129","complexities","content/style","noun","complexity can be a term as in computational complexity, or a general term"
"130","complicates","style","verb",""
"131","complicating","style","verb",""
"132","comprehend","style","verb",""
"133","comprehending","style","verb",""
"135","comprehensive","style","adjective",""
"136","comprising","style","verb",""
"137","concurrently","content/style","adverb","in principle style, but often used in a specific context (concurrency of disease symptoms or medications)"
"139","conditions","style","noun",""
"140","conducted","style","verb",""
"143","consequently","style","verb",""
"144","consolidates","style","verb",""
"151","contributing","style","verb","contributing factors "
"154","conversely","style","adverb",""
"164","correlating","style","verb",""
"168","crafted","style","verb",""
"169","crafting","style","verb",""
"173","crucial","style","adjective",""
"175","culminating","style","verb",""
"177","customizing","style","verb",""
"181","declare","style","verb",""
"182","declared","style","verb",""
"184","deductively","style","adverb",""
"185","deeper","content/style","adjective","can potentially refer to deep learning / deep networks"
"187","delineates","style","verb",""
"190","delve","style","verb",""
"191","delved","style","verb",""
"192","delves","style","verb",""
"193","delving","style","verb",""
"194","demonstrated","style","verb",""
"195","demonstrates","style","verb",""
"196","demonstrating","style","verb",""
"197","dependability","style","noun",""
"198","dependable","style","adjective",""
"200","despite","style","preposition",""
"201","detailing","style","verb",""
"202","detrimentally","style","adverb",""
"204","diminishes","style","verb",""
"205","diminishing","style","verb",""
"206","discern","style","verb",""
"207","discerned","style","verb",""
"208","discernible","style","adjective",""
"209","discerning","style","verb",""
"211","displaying","style","verb",""
"212","disrupts","style","verb",""
"214","distinct","style","adjective",""
"215","distinctions","style","noun",""
"216","distinctive","style","adjective",""
"217","diverse","style","adjective",""
"221","during","style","preposition",""
"223","easing","style","verb",""
"229","effectively","style","adverb",""
"230","efficacy","style/count","noun","can refer to vaccine efficacy"
"235","elevate","style","verb",""
"236","elevated","style","verb",""
"237","elevates","style","verb",""
"238","elevating","style","verb",""
"239","elucidate","style","verb",""
"240","elucidates","style","verb",""
"241","elucidating","style","verb",""
"243","embracing","style","verb",""
"244","emerged","style","verb",""
"246","emerges","style","verb",""
"248","emphasises","style","verb",""
"249","emphasising","style","verb",""
"250","emphasize","style","verb",""
"251","emphasizes","style","verb",""
"252","emphasizing","style","verb",""
"253","employed","style","verb",""
"254","employing","style","verb",""
"255","employs","style","verb",""
"256","empowers","style","verb",""
"257","emulating","style","verb",""
"258","emulation","style","noun",""
"259","enabling","style","verb",""
"260","encapsulates","style","verb",""
"262","encompass","style","verb",""
"263","encompassed","style","verb",""
"264","encompasses","style","verb",""
"265","encompassing","style","verb",""
"267","endangering","style","verb",""
"268","endeavors","style","noun","""research endeavors"""
"269","endeavours","style","noun","BE version"
"271","enduring","style","verb",""
"272","enhance","style","verb",""
"273","enhanced","style","verb",""
"274","enhancements","style","nount",""
"275","enhances","style","verb",""
"276","enhancing","style","verb",""
"277","ensuring","style","verb",""
"284","equipping","style","verb",""
"285","escalating","style","verb",""
"286","essentials","style","noun",""
"287","evaluates","style","verb",""
"289","evolving","style","verb",""
"290","exacerbating","style","verb",""
"291","examines","style","verb",""
"292","exceeding","style","verb",""
"293","excels","style","verb",""
"294","exceptional","style","adjective",""
"295","exceptionally","style","adverb",""
"296","exerting","style","verb",""
"297","exhibit","style","verb",""
"298","exhibited","style","verb",""
"299","exhibiting","style","verb",""
"300","exhibits","style","verb",""
"301","expedite","style","verb",""
"302","expediting","style","verb",""
"304","exploration","style","noun",""
"305","explores","style","verb",""
"306","faces","content/style","noun/verb","can be content noun (face) or style verb (to face)"
"307","facilitated","style","verb",""
"308","facilitates","style","verb",""
"309","facilitating","style","verb",""
"313","featuring","style","verb",""
"316","fight","style","noun/verb",""
"317","findings","style","noun",""
"322","focusing","style","verb",""
"323","formidable","style","adjective",""
"324","fostering","style","verb",""
"325","fosters","style","verb",""
"326","foundational","style","adjective",""
"329","furnish","style","verb",""
"332","garnered","style","verb",""
"333","garnering","style","verb",""
"334","gauged","style","verb",""
"341","grappling","style","verb",""
"342","groundbreaking","style","adjective",""
"343","groundwork","style","noun",""
"348","hardest","style","noun",""
"350","harness","style","verb",""
"351","harnesses","style","verb",""
"352","harnessing","style","verb",""
"356","heighten","style","verb",""
"357","heightened","style","adjective",""
"361","heterogenous","content/style","adjective","can have technical meanings but can also be used in other contexts"
"364","highlight","style","verb",""
"365","highlighting","style","verb",""
"366","highlights","style","verb",""
"368","hinder","style","verb",""
"369","hinges","style","verb",""
"370","hinting","style","verb",""
"372","hold","style","verb",""
"373","holds","style","verb",""
"376","however","style","adverb",""
"387","identified","style","verb",""
"390","illuminates","style","verb",""
"391","illuminating","style","adjective",""
"392","imbalances","style","verb",""
"393","impact","style","noun",""
"394","impactful","style","adjective",""
"395","impacting","style","verb",""
"396","impede","style","verb",""
"397","impeding","style","adjective",""
"398","imperative","style","adjective",""
"399","impressive","style","adjective",""
"401","inadequately","style","adverb",""
"402","inaugural","content/style","adjective","unsure"
"403","including","style","preposition",""
"404","incorporates","style","verb",""
"405","incorporating","style","verb",""
"406","indicating","style","verb",""
"407","individuals","style","noun",""
"411","influencing","style","verb",""
"412","inherent","style","adjective",""
"413","initially","style","adverb",""
"414","innovative","style","adjective",""
"415","inquiries","style","noun",""
"416","insights","style","noun",""
"417","integrates","style","verb",""
"418","integrating","style","verb",""
"419","integration","style","noun",""
"420","interconnectedness","style","noun",""
"421","interplay","style","noun",""
"425","into","style","preposition",""
"426","intricacies","style","noun",""
"427","intricate","style","adjective",""
"428","intricately","style","adverb",""
"429","introduces","style","adjective",""
"430","invaluable","style","adjective",""
"431","investigates","style","verb",""
"432","investigation","content/style","noun","“investigation” can be a synonym of “study” or “experiment” which is style"
"434","involves","style","verb",""
"435","involving","style","verb",""
"438","juxtaposed","style","adjective",""
"445","landscape","content/style","noun","can have technical meaning but also used as a style word"
"448","leading","style","verb",""
"451","leverages","style","verb",""
"452","leveraging","style","verb",""
"454","lies","content/style","noun/verb","can be noun (plural from lie) or a verb (3rd person singular)"
"455","like","style","particle",""
"456","limitations","style","noun",""
"457","linked","style","verb",""
"475","maintaining","style","verb",""
"487","merges","style","verb",""
"490","methodologies","style","noun",""
"492","meticulous","style","adjective",""
"493","meticulously","style","adverb",""
"495","midst","style","preposition",""
"496","minimizing","content/style","verb","can have technical and non-technical meanings"
"498","mirroring","content/style","verb","can have technical and non-technical meanings"
"509","modulating","content/style","verb","can have technical and non-technical meanings"
"516","multifaceted","style","adjective",""
"523","necessitate","style","verb",""
"524","necessitates","style","verb",""
"525","necessitating","style","verb",""
"526","necessity","style","noun",""
"527","need","style","verb",""
"538","notable","style","adjective",""
"539","notably","style","advebr",""
"540","noteworthy","style","adjective",""
"542","nuanced","style","adjective",""
"543","nuances","style","noun",""
"545","observed","style","verb",""
"546","offer","style","verb",""
"547","offering","style","verb",""
"548","offers","style","verb",""
"554","optimizing","style","verb",""
"556","orchestrating","style","verb",""
"558","originality","content/style","noun",""
"560","outcomes","style","noun",""
"561","outlines","style","verb",""
"563","overlook","style","verb",""
"564","overlooking","style","verb",""
"566","overwhelmed","style","verb",""
"570","particularly","style","adverb",""
"573","paving","style","verb",""
"578","persist","style","verb",""
"585","pinpoint","style","verb",""
"586","pinpointed","style","verb",""
"587","pinpointing","style","verb",""
"588","pioneering","style","verb",""
"589","pioneers","style","noun",""
"590","pivotal","style","adjective",""
"594","poised","style","verb",""
"598","pose","style","verb",""
"599","posed","style","verb",""
"600","poses","style","verb",""
"601","posing","style","verb",""
"602","postponed","style","verb",""
"603","potential","style","adjective",""
"604","potentially","style","adverb",""
"607","precise","style","adjective",""
"608","predominantly","style","adverb",""
"611","presents","style","verb",""
"612","preserving","style","verb",""
"613","pressing","style","adjective",""
